,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10
T0001,17.8196666666667,17.8196666666667,17.8196666666667,17.8196666666667,17.8196666666667,17.8196666666667,17.8196666666667,17.8196666666667,17.8196666666667,17.8196666666667
T0002,17.5163333333333,17.5163333333333,17.5163333333333,17.5163333333333,17.5163333333333,17.5163333333333,17.5163333333333,17.5163333333333,17.5163333333333,17.5163333333333
T0003,17.686,17.686,17.686,17.686,17.686,17.686,17.686,17.686,17.686,17.686
T0004,17.6526666666667,17.6526666666667,17.6526666666667,17.6526666666667,17.6526666666667,17.6526666666667,17.6526666666667,17.6526666666667,17.6526666666667,17.6526666666667
T0005,18.219,18.219,18.219,18.219,18.219,18.219,18.219,18.219,18.219,18.219
T0006,19.4516666666667,19.4516666666667,19.4516666666667,19.4516666666667,19.4516666666667,19.4516666666667,19.4516666666667,19.4516666666667,19.4516666666667,19.4516666666667
T0007,20.6936666666667,20.6936666666667,20.6936666666667,20.6936666666667,20.6936666666667,20.6936666666667,20.6936666666667,20.6936666666667,20.6936666666667,20.6936666666667
T0008,20.8843333333333,20.8843333333333,20.8843333333333,20.8843333333333,20.8843333333333,20.8843333333333,20.8843333333333,20.8843333333333,20.8843333333333,20.8843333333334
T0009,20.8183333333333,20.8183333333333,20.8183333333333,20.8183333333333,20.8183333333333,20.8183333333333,20.8183333333333,20.8183333333333,20.8183333333333,20.8183333333333
T0010,21.6026666666667,21.6026666666667,21.6026666666667,21.6026666666667,21.6026666666667,21.6026666666667,21.6026666666667,21.6026666666667,21.6026666666667,21.6026666666667
T0011,22.236,22.236,22.236,22.236,22.236,22.236,22.236,22.236,22.236,22.236
T0012,22.736,22.736,22.736,22.736,22.736,22.736,22.736,22.736,22.736,22.736
T0013,22.5026666666667,22.5026666666667,22.5026666666667,22.5026666666667,22.5026666666667,22.5026666666667,22.5026666666667,22.5026666666667,22.5026666666667,22.5026666666667
T0014,22.236,22.236,22.236,22.236,22.236,22.236,22.236,22.236,22.236,22.236
T0015,21.7936666666667,21.7936666666667,21.7936666666667,21.7936666666667,21.7936666666667,21.7936666666667,21.7936666666667,21.7936666666667,21.7936666666667,21.7936666666667
T0016,21.562,21.562,21.562,21.562,21.562,21.562,21.562,21.562,21.562,21.562
T0017,22.2063333333333,22.2063333333333,22.2063333333333,22.2063333333333,22.2063333333333,22.2063333333333,22.2063333333333,22.2063333333333,22.2063333333333,22.2063333333334
T0018,22.9396666666667,22.9396666666667,22.9396666666667,22.9396666666667,22.9396666666667,22.9396666666667,22.9396666666667,22.9396666666667,22.9396666666667,22.9396666666667
T0019,22.8096666666667,22.8096666666667,22.8096666666667,22.8096666666667,22.8096666666667,22.8096666666667,22.8096666666667,22.8096666666667,22.8096666666667,22.8096666666667
T0020,22.5303333333333,22.5303333333333,22.5303333333333,22.5303333333333,22.5303333333333,22.5303333333333,22.5303333333333,22.5303333333333,22.5303333333333,22.5303333333334
T0021,21.8953333333333,21.8953333333333,21.8953333333333,21.8953333333333,21.8953333333333,21.8953333333333,21.8953333333333,21.8953333333333,21.8953333333333,21.8953333333334
T0022,21.2953333333333,21.2953333333333,21.2953333333333,21.2953333333333,21.2953333333333,21.2953333333333,21.2953333333333,21.2953333333333,21.2953333333333,21.2953333333334
T0023,19.2523333333333,19.2523333333333,19.2523333333333,19.2523333333333,19.2523333333333,19.2523333333333,19.2523333333333,19.2523333333333,19.2523333333333,19.2523333333333
T0024,17.9876666666667,17.9876666666667,17.9876666666667,17.9876666666667,17.9876666666667,17.9876666666667,17.9876666666667,17.9876666666667,17.9876666666667,17.9876666666667
T0025,17.7526666666667,17.7526666666667,17.7526666666667,17.7526666666667,17.7526666666667,17.7526666666667,17.7526666666667,17.7526666666667,17.7526666666667,17.7526666666667
